,Unnamed: 0,UserId,Text,Date,ProductId,Helpfullness,Sarcasm,Product,Sentiment
115,115,1309357001789648902,"John Mackey, the founder of Whole Foods, espouses a kinder, gentler vision of commerce. In an interview with our Co… https://t.co/ih7w6xd1uj",2020-09-25,B001E4KFG0,1,1,,1
116,116,1309356406081019904,RT @ourcupofkhafi: Thank you Amazon foods. I can go to Dorathy's house to eat when I go broke from spending all my money to vote this week…,2020-09-25,B001E4KFG0,0,1,,0
117,117,1309355813153071104,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
118,118,1309355787462959105,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
119,119,1309355383853428738,"Is Amazon Prime delivery from Whole Foods available in Hawaii?

Business Insider: Whole Foods employees say Amazon… https://t.co/4tOj2Kd4Na",2020-09-25,B001E4KFG0,0,1,,1
120,120,1309354963517218816,https://t.co/bIEKNEmO10,2020-09-25,B001E4KFG0,0,1,,0
121,121,1309354159355965440,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
122,122,1309353647223050245,@yungchente97 whole foods got a lot cheaper after Amazon bought them. it’s just not true anymore.,2020-09-25,B001E4KFG0,1,1,,1
123,123,1309352712677412866,"RT @Navy_Lady_45: Hello Friends, 🐈🐾🐾💞

I take care of 30+ indoor and outdoor feral cats. All have been spayed/neutered. I am in need of cat…",2020-09-25,B001E4KFG0,1,1,,0
124,124,1309352156122632193,I almost forgot for a single second that he sold Whole Foods to Amazon what a literal bag of dogshit https://t.co/5WKHLavBX0,2020-09-25,B001E4KFG0,1,1,,1
125,125,1309351556635074560,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
126,126,1309351517233741826,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
127,127,1309351510803992576,"@Ivimey Don’t forget Amazon Music (neither prime nor its own unique name?), Kindle, IMDB, Fire TV (and “Tablets”),… https://t.co/FfxLuKkzQS",2020-09-25,B001E4KFG0,1,1, ”,1
128,128,1309350698102870017,RT @fffffrida: this is next door to a whole foods and amazon's carbon footprint grew 15% this year... the call is coming from inside the wh…,2020-09-25,B001E4KFG0,0,1,,1
129,129,1309349838992084992,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
130,130,1309349427547643904,@KayGabriellle That merger with housing Amazon ops in Whole Foods &amp; now ordering online through their Market was a… https://t.co/X6wJ9jpPnO,2020-09-25,B001E4KFG0,1,1,,1
131,131,1309349427362934784,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
132,132,1309349318038437888,And he sold Whole Foods to Amazon...literally BIG yikes https://t.co/uothgocOvA,2020-09-25,B001E4KFG0,1,1,,1
133,133,1309348895240019969,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
134,134,1309347787566231552,@nytimesbusiness That must be why Amazon took away Whole Foods' part time workers health care.  So they will make better lifestyle choices.,2020-09-25,B001E4KFG0,1,1,,1
135,135,1309347742830022657,"RT @jackmurphylive: Amazon destroyed my local Whole Foods.

It used to be a warm inviting center of a neighborhood. You could go and get a…",2020-09-25,B001E4KFG0,0,1,,1
136,136,1309347470086864898,"RT @otani_foods: 【お知らせ】
いつもご愛顧いただきありがとうございます。
この度、大谷商会の楽天ショップが開店いたしました。
（amazonショップも只今準備中です）
10/1より、オンラインショップのページを切り替えさせていただきます。
今後とも引き続き、よ…",2020-09-25,B001E4KFG0,0,1,,0
137,137,1309346713392553985,RT @fffffrida: this is next door to a whole foods and amazon's carbon footprint grew 15% this year... the call is coming from inside the wh…,2020-09-25,B001E4KFG0,0,1,,1
138,138,1309346100910927873,RT @fffffrida: this is next door to a whole foods and amazon's carbon footprint grew 15% this year... the call is coming from inside the wh…,2020-09-25,B001E4KFG0,0,1,,1
139,139,1309345881309818881,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
140,140,1309345360016412672,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
141,141,1309345019707502594,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
142,142,1309344751276232704,@PatsyStoned2 @2020eScribbles @jlwallen @amazon You can pop onto the Amazon website and see what the Whole Foods pr… https://t.co/RdRs8BsFNU,2020-09-25,B001E4KFG0,1,1,,1
143,143,1309344324346359809,RT @fffffrida: this is next door to a whole foods and amazon's carbon footprint grew 15% this year... the call is coming from inside the wh…,2020-09-25,B001E4KFG0,0,1,,1
