id,A,B,C,D,E,F,G,H,I,J,K
15395,90,70,70,60,80,70,90,80,60,60,70
15396,90,70,70,60,80,70,90,100,60,60,60
15397,90,70,70,70,80,70,90,100,80,80,60
15398,90,70,70,60,80,70,90,70,60,60,70
15399,100,70,70,60,80,70,90,100,60,60,70
15400,90,70,70,60,80,70,90,50,60,60,70
15401,90,70,70,60,70,70,80,100,60,60,70
15402,90,70,70,60,70,70,80,40,60,60,70
15403,80,60,70,60,70,70,80,100,80,80,70
15404,80,60,70,60,70,80,80,80,80,80,70
15405,90,60,70,60,70,70,80,100,80,80,70
15406,80,70,70,60,70,80,80,80,80,80,70
15407,80,60,70,60,70,90,80,60,60,60,70
15408,90,60,60,60,70,80,80,80,80,80,70
15409,100,70,70,60,80,90,80,90,120,120,100
15410,100,70,70,60,70,90,80,80,100,100,100
15411,100,60,70,60,70,90,80,90,120,120,100
15412,90,60,70,60,70,90,80,100,100,100,100
15413,90,60,70,60,70,90,80,80,100,100,100
15414,80,60,60,60,70,90,80,100,150,150,100
15415,70,60,60,60,70,90,80,100,140,140,100
15416,90,60,70,80,80,90,80,100,140,140,100
15417,120,90,100,110,100,90,70,100,150,150,100
15418,120,90,90,100,100,90,70,100,100,100,100
15419,80,60,70,80,80,90,70,100,120,120,100
15420,70,60,60,70,70,90,70,50,120,120,100
15421,70,60,60,70,70,80,70,100,120,120,100
15422,70,50,60,70,70,80,70,100,120,120,100
15423,70,50,60,70,70,90,70,100,120,120,100
15424,70,50,60,70,70,90,70,100,120,120,100
15425,70,50,60,70,60,90,70,100,110,110,100
15426,70,50,60,70,60,90,70,100,90,90,100
15427,70,50,60,70,70,80,70,100,90,90,100
15428,70,50,60,70,70,80,70,100,90,90,100
15429,70,50,60,70,70,80,70,100,90,90,100
15430,70,50,60,70,60,80,70,100,90,90,100
15431,70,50,60,70,70,80,70,100,90,90,100
15432,70,50,60,70,60,80,70,90,90,90,100
15433,110,70,60,80,80,80,70,80,110,110,100
15434,90,60,60,70,70,80,70,80,90,90,100
15435,100,60,60,80,80,80,70,100,90,90,100
15436,90,50,60,70,60,80,70,90,90,90,100
15437,80,50,60,70,60,80,70,90,90,90,100
15438,100,60,60,70,70,80,70,90,90,90,100
15439,80,50,60,70,60,70,70,50,90,90,60
15440,80,50,60,70,60,70,70,80,90,90,60
15441,100,60,60,70,70,70,70,50,90,90,60
15442,70,50,60,70,60,70,70,80,90,90,60
15443,90,60,60,70,70,70,70,50,90,90,60
15444,70,50,60,70,60,70,70,50,90,90,60
15445,70,50,60,70,60,60,70,50,50,50,60
15446,90,60,60,70,70,60,70,50,50,50,60
15447,70,50,60,70,60,60,70,60,50,50,60
